,Cat.Sel,Group.Description,Desc,Qty,RCV,group_1,group_2,group_3,buildarchtype
1,PNT.SILLS,StructureLevelLineItems,Stain & finish wood window sill,170,573.24,general,split,general-split,R_1-L-BD-CU
2,FNC.SILLH,StructureLevelLineItems,Window sill - hardwood,170,1122,general,split,general-split,R_1-L-BD-CU
3,ELE.SMOKE+,StructureLevelLineItems,Smoke detector - High grade,1,104.51,general,split,general-split,R_1-L-BD-CU
4,LIT.FL2-6+,StructureLevelLineItems,Fluorescent - two tube - 6' - fixture w/lens,1,172.18,general,split,general-split,R_1-L-BD-CU
5,HVC.DVENT,StructureLevelLineItems,Clothes dryer vent - installed,1,90.02,general,split,general-split,R_1-L-BD-CU
6,PNT.HRS,StructureLevelLineItems,Stain & finish handrail - wall mounted,30,76.32,general,split,general-split,R_1-L-BD-CU
7,FNC.HR+,StructureLevelLineItems,Handrail - detailed profile - softwood - wall mounted,30,663.12,general,split,general-split,R_1-L-BD-CU
8,FNC.LAB,StructureLevelLineItems,Finish Carpenter - per hour,35,3233.59,general,split,general-split,R_1-L-BD-CU
9,PLM.RGHFIX,StructureLevelLineItems,Rough-in plumbing - per fixture,2,1573.76,general,split,general-split,R_1-L-BD-CU
10,PLM.WH50,StructureLevelLineItems,Water heater - 50 gallon - Gas - 6 yr,2,3508.9,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
11,PNT.SHW,StructureLevelLineItems,"Seal & paint wood shelving, 12""- 24"" width",25,133.2,general,split,general-split,R_1-L-BD-CU
12,FNC.SH16,StructureLevelLineItems,"Shelving - 16"" - in place",25,346.51,general,split,general-split,R_1-L-BD-CU
13,PNT.SP,StructureLevelLineItems,Seal/prime (1 coat) then paint (1 coat) the surface area,122,143.48,general,split,general-split,R_1-L-BD-CU
14,DRY.1/2+,StructureLevelLineItems,"1/2"" drywall - hung, taped, heavy texture, ready for paint",122,491.9,general,split,general-split,R_1-L-BD-CU
15,FNH.DORH+,StructureLevelLineItems,Door knob - interior - High grade,1,74.89,general,split,general-split,R_1-L-BD-CU
16,DOR.AV+,StructureLevelLineItems,Interior door unit - High grade,1,439.42,general,split,general-split,R_1-L-BD-CU
17,PNT.DORT,StructureLevelLineItems,Paint door/window trim & jamb - 2 coats (per side),2,75.26,general,split,general-split,R_1-L-BD-CU
