Room.Name,Dimensions,length_Ft,length_In,width_Ft,width_In,height_Ft,height_In,buildingType,buildingSize,buildingBasement,buildingQuality
Bath,"7' 10"" x 4' 11"" x 9'",7,10,4,11,9,0,R,L,BD,CU
Bath,"7' 11"" x 5' x 8'",7,11,5,0,8,0,R,L,BD,ST
Bath,"7' 4"" x 4' 7"" x 9'",7,4,4,7,9,0,R,L,C,CU
Bath,"6' 11"" x 4' 4"" x 9'",6,11,4,4,9,0,R,M,BD,CU
Bath,"7' 1"" x 4' 5"" x 8'",7,1,4,5,8,0,R,M,BD,ST
Bath,"6' 10"" x 4' 3"" x 8'",6,10,4,3,8,0,R,M,BU,ST
Bath,"6' 10"" x 4' 3"" x 9'",6,10,4,3,9,0,R,M,C,CU
Bath,"6' 11"" x 4' 4"" x 8'",6,11,4,4,8,0,R,M,C,ST
Bath,"8' 1"" x 5' 1"" x 8'",8,1,5,1,8,0,R,S,BD,AA
Bath,"8' 3"" x 5' 2"" x 8'",8,3,5,2,8,0,R,S,BD,EC
Bath,"7' 10"" x 4' 11"" x 8'",7,10,4,11,8,0,R,S,BU,EC
Bath,"7' 7"" x 4' 9"" x 8'",7,7,4,9,8,0,R,S,C,AA
Bath,8' x 5' x 8',8,0,5,0,8,0,R,S,C,EC
Bath,"7' 11"" x 4' 11"" x 8'",7,11,4,11,8,0,R,L,BD,ST
Bath,"7' 8"" x 4' 10"" x 8'",7,8,4,10,8,0,R,L,BU,ST
Bath,"7' 7"" x 4' 9"" x 9'",7,7,4,9,9,0,R,L,C,CU
Bath,"7' 9"" x 4' 10"" x 8'",7,9,4,10,8,0,R,L,C,ST
Bath,"7' 5"" x 4' 8"" x 9'",7,5,4,8,9,0,R,M,BD,CU
Bath,"7' 7"" x 4' 9"" x 8'",7,7,4,9,8,0,R,M,BD,ST
Bath,"7' 2"" x 4' 6"" x 8'",7,2,4,6,8,0,R,M,BU,ST
Bath,"7' 1"" x 4' 5"" x 9'",7,1,4,5,9,0,R,M,C,CU
Bath,"7' 3"" x 4' 6"" x 8'",7,3,4,6,8,0,R,M,C,ST
